x;y;z
oxford_median_age_tbd__oxford_positive_rate_tbd;c3_Google_ParksMobility_index;0.418340522242409
oxford_aged_65_older_tbd__oxford_positive_rate_tbd;c3_Google_ParksMobility_index;0.418092185205248
oxford_population_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.416453154172507
oxford_cardiovasc_death_rate_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.415068850765717
c3_MaleFemaletotal_InternationalCensus_integer__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.414227496041399
oxford_aged_65_older_tbd__oxford_new_tests_smoothed_tbd;c3_Google_ParksMobility_index;0.413846016869783
oxford_life_expectancy_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.41240573400072
oxford_median_age_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Google_ParksMobility_index;0.408886294857916
oxford_aged_65_older_tbd__oxford_total_tests_per_thousand_tbd;c3_Google_ParksMobility_index;0.408120788149424
oxford_aged_70_older_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Apple_TransitMobility_index;0.407510683123841
oxford_median_age_tbd__oxford_tests_per_case_tbd;c3_Google_ParksMobility_index;0.407385573366169
oxford_handwashing_facilities_tbd__oxford_positive_rate_tbd;c3_Apple_TransitMobility_index;0.405905290943561
oxford_aged_70_older_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.404386941224853
oxford_median_age_tbd__oxford_total_tests_tbd;c3_Google_ParksMobility_index;0.40098914256676
oxford_aged_65_older_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.400690362475379
oxford_aged_65_older_tbd__oxford_tests_per_case_tbd;c3_Google_ParksMobility_index;0.400059938259278
oxford_median_age_tbd__oxford_new_tests_tbd;c3_Google_ParksMobility_index;0.397320890825602
oxford_median_age_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.393797524332018
oxford_aged_70_older_tbd__oxford_weekly_icu_admissions_tbd;c3_OxCGRT_Policy_ContainmentHealthIndex_mean_of_ordinal;0.393524637470267
oxford_median_age_tbd__oxford_total_tests_per_thousand_tbd;c3_Google_ParksMobility_index;0.39131891666153
oxford_aged_65_older_tbd__oxford_total_tests_tbd;c3_Google_ParksMobility_index;0.391162570896295
oxford_aged_65_older_tbd__oxford_new_tests_tbd;c3_Google_ParksMobility_index;0.387075803251731
oxford_aged_70_older_tbd__oxford_weekly_icu_admissions_tbd;c3_OxCGRT_Policy_GovernmentResponseIndex_mean_of_ordinal;0.383588468839803
oxford_male_smokers_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.381126445035465
oxford_aged_65_older_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_WorkplacesMobility_index;0.376726051511899
oxford_aged_65_older_tbd__oxford_weekly_icu_admissions_tbd;c3_OxCGRT_Policy_ContainmentHealthIndex_mean_of_ordinal;0.372686100328738
oxford_extreme_poverty_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.372629161044416
oxford_hospital_beds_per_thousand_tbd__oxford_new_tests_tbd;c3_Apple_TransitMobility_index;0.370849601600977
oxford_female_smokers_tbd__oxford_new_tests_tbd;c3_Apple_TransitMobility_index;0.369347082111381
oxford_aged_65_older_tbd__oxford_weekly_icu_admissions_tbd;c3_OxCGRT_Policy_GovernmentResponseIndex_mean_of_ordinal;0.368981471117653
oxford_human_development_index_tbd__oxford_positive_rate_tbd;c3_Google_ParksMobility_index;0.366147119712909
oxford_hospital_beds_per_thousand_tbd__oxford_total_tests_per_thousand_tbd;c3_Apple_TransitMobility_index;0.364579909016697
oxford_diabetes_prevalence_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.361717902701747
oxford_hospital_beds_per_thousand_tbd__oxford_total_tests_per_thousand_tbd;c3_Google_ResidentialMobility_index;0.361257269437158
oxford_gdp_per_capita_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_ResidentialMobility_index;0.359924180240707
oxford_gdp_per_capita_tbd__oxford_new_tests_tbd;c3_Apple_TransitMobility_index;0.356843172996488
oxford_gdp_per_capita_tbd__oxford_total_tests_per_thousand_tbd;c3_Apple_TransitMobility_index;0.355316289772908
oxford_population_density_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.354387931682693
oxford_handwashing_facilities_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.352492735903018
oxford_median_age_tbd__oxford_total_tests_per_thousand_tbd;c3_Google_ResidentialMobility_index;0.35189712754414
oxford_aged_65_older_tbd__oxford_weekly_icu_admissions_tbd;c3_Apple_TransitMobility_index;0.351602431227597
oxford_aged_70_older_tbd__oxford_new_deaths_smoothed_per_million_tbd;c3_Apple_TransitMobility_index;0.349719314737846
oxford_female_smokers_tbd__oxford_total_tests_per_thousand_tbd;c3_Google_ResidentialMobility_index;0.347597720614271
oxford_aged_70_older_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_OxCGRT_Policy_GovernmentResponseIndex_mean_of_ordinal;0.347492251900105
oxford_gdp_per_capita_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.345801645598638
oxford_aged_65_older_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_OxCGRT_Policy_GovernmentResponseIndex_mean_of_ordinal;0.344984971665316
oxford_human_development_index_tbd__oxford_new_tests_smoothed_tbd;c3_Google_ParksMobility_index;0.344327393049208
oxford_aged_65_older_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Apple_TransitMobility_index;0.343911279104804
oxford_gdp_per_capita_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.343795472849631
oxford_aged_70_older_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_OxCGRT_Policy_ContainmentHealthIndex_mean_of_ordinal;0.343676748979328
oxford_hospital_beds_per_thousand_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.343254361243413
oxford_female_smokers_tbd__oxford_total_tests_per_thousand_tbd;c3_Apple_TransitMobility_index;0.343083432067408
oxford_gdp_per_capita_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_GroceryMobility_index;0.342417478714182
oxford_aged_65_older_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_ResidentialMobility_index;0.342111381439433
oxford_handwashing_facilities_tbd__oxford_total_tests_per_thousand_tbd;c3_Apple_WalkingMobility_index;0.340942019787568
oxford_aged_70_older_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_WorkplacesMobility_index;0.339390460596893
oxford_aged_70_older_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_ResidentialMobility_index;0.339006212893705
oxford_hospital_beds_per_thousand_tbd__oxford_total_tests_tbd;c3_Apple_TransitMobility_index;0.338327786244084
oxford_median_age_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_WorkplacesMobility_index;0.337463231607391
oxford_aged_65_older_tbd__oxford_total_tests_per_thousand_tbd;c3_Google_ResidentialMobility_index;0.337271127235115
oxford_aged_65_older_tbd__oxford_weekly_icu_admissions_tbd;c3_OxCGRT_Policy_StringencyIndex_mean_of_ordinal;0.335387093925698
oxford_handwashing_facilities_tbd__oxford_total_deaths_tbd;c3_Apple_TransitMobility_index;0.335353146496977
oxford_handwashing_facilities_tbd__oxford_total_deaths_per_million_tbd;c3_Apple_TransitMobility_index;0.335307886852402
oxford_human_development_index_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.333872517849705
oxford_aged_65_older_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_OxCGRT_Policy_ContainmentHealthIndex_mean_of_ordinal;0.333780950096481
oxford_aged_70_older_tbd__oxford_weekly_icu_admissions_tbd;c3_OxCGRT_Policy_StringencyIndex_mean_of_ordinal;0.33303938429071
oxford_human_development_index_tbd__oxford_tests_per_case_tbd;c3_Google_ParksMobility_index;0.33208189579429
oxford_gdp_per_capita_tbd__oxford_total_tests_tbd;c3_Apple_TransitMobility_index;0.331850099907904
oxford_aged_65_older_tbd__oxford_new_deaths_smoothed_per_million_tbd;c3_Apple_TransitMobility_index;0.331373461562989
oxford_aged_70_older_tbd__oxford_new_deaths_per_million_tbd;c3_Apple_TransitMobility_index;0.330007444283406
oxford_life_expectancy_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.328600916005424
oxford_cardiovasc_death_rate_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_GroceryMobility_index;0.328494794502039
oxford_human_development_index_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Google_ParksMobility_index;0.327230540856797
oxford_gdp_per_capita_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_WorkplacesMobility_index;0.326374403059373
oxford_human_development_index_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_ResidentialMobility_index;0.32622689391217
oxford_hospital_beds_per_thousand_tbd__oxford_total_tests_per_thousand_tbd;c3_Google_ParksMobility_index;0.325317703580128
c3_MortalityRateUnder5International_numeric__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.324761127624754
oxford_extreme_poverty_tbd__oxford_weekly_icu_admissions_tbd;c3_OxCGRT_Policy_EconomicSupportIndex_mean_of_ordinal;0.324577310455747
oxford_hospital_beds_per_thousand_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Google_ParksMobility_index;0.322758357362119
c3_MortalityRateUnder5International_numeric__oxford_positive_rate_tbd;c3_Google_ParksMobility_index;0.320759687306655
oxford_hospital_beds_per_thousand_tbd__oxford_new_tests_tbd;c3_Google_ParksMobility_index;0.318899389653448
oxford_aged_70_older_tbd__oxford_weekly_hosp_admissions_tbd;c3_Apple_TransitMobility_index;0.318748112512495
oxford_cardiovasc_death_rate_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.318008161828239
c3_LifeExpectancyInternational_numeric__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.317994765593135
oxford_diabetes_prevalence_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.317888145568856
oxford_hospital_beds_per_thousand_tbd__oxford_total_tests_tbd;c3_Google_ParksMobility_index;0.317720182001328
oxford_cardiovasc_death_rate_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.317588157080191
oxford_hospital_beds_per_thousand_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.316215630352225
oxford_gdp_per_capita_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_TransitStationsMobility_index;0.315706335713729
oxford_aged_70_older_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.315610609118854
oxford_human_development_index_tbd__oxford_total_tests_tbd;c3_Google_ParksMobility_index;0.315519202948964
oxford_female_smokers_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.315519082994752
oxford_gdp_per_capita_tbd__oxford_weekly_icu_admissions_tbd;c3_Apple_TransitMobility_index;0.315514403550923
oxford_median_age_tbd__oxford_total_tests_tbd;c3_Google_ResidentialMobility_index;0.315421013235417
oxford_extreme_poverty_tbd__oxford_weekly_hosp_admissions_per_million_tbd;c3_Apple_TransitMobility_index;0.315243662737397
oxford_median_age_tbd__oxford_tests_per_case_tbd;c3_Google_ResidentialMobility_index;0.314881362197833
oxford_hospital_beds_per_thousand_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Google_ResidentialMobility_index;0.314155379934889
oxford_hospital_beds_per_thousand_tbd__oxford_new_tests_smoothed_tbd;c3_Google_ParksMobility_index;0.313999020167413
oxford_human_development_index_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_GroceryMobility_index;0.313814103703058
oxford_aged_70_older_tbd__oxford_weekly_hosp_admissions_per_million_tbd;c3_Apple_TransitMobility_index;0.313367982749604
oxford_aged_65_older_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.312535066253811
c3_MaleFemaletotal_InternationalCensus_integer__oxford_positive_rate_tbd;c3_OxCGRT_Policy_EconomicSupportIndex_mean_of_ordinal;0.312331713543442
oxford_human_development_index_tbd__oxford_new_tests_tbd;c3_Google_ParksMobility_index;0.312241877275364
oxford_life_expectancy_tbd__oxford_positive_rate_tbd;c3_Google_ParksMobility_index;0.311946908151828
c3_MaleFemaletotal_InternationalCensus_integer__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.31191159625537
oxford_population_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.311709306512288
oxford_aged_65_older_tbd__oxford_new_deaths_per_million_tbd;c3_Apple_TransitMobility_index;0.31122322053608
oxford_population_density_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.31052659251839
oxford_population_tbd__oxford_positive_rate_tbd;c3_OxCGRT_Policy_EconomicSupportIndex_mean_of_ordinal;0.309922486145094
oxford_male_smokers_tbd__oxford_positive_rate_tbd;c3_OxCGRT_Policy_EconomicSupportIndex_mean_of_ordinal;0.309489370626844
oxford_median_age_tbd__oxford_new_deaths_smoothed_per_million_tbd;c3_Apple_TransitMobility_index;0.309199398787655
oxford_male_smokers_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.308365370159258
oxford_median_age_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_GroceryMobility_index;0.308144348354174
c3_LifeExpectancyInternational_numeric__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.306385344872353
oxford_human_development_index_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.305072572945176
c3_LifeExpectancyInternational_numeric__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_GroceryMobility_index;0.304655031342953
oxford_aged_65_older_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_OxCGRT_Policy_StringencyIndex_mean_of_ordinal;0.303402129358525
c3_MortalityRateUnder5International_numeric__oxford_total_tests_per_thousand_tbd;c3_Apple_TransitMobility_index;0.302642149734891
oxford_female_smokers_tbd__oxford_new_tests_smoothed_tbd;c3_Google_ParksMobility_index;0.302020404053988
oxford_aged_65_older_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_GroceryMobility_index;0.301493726902324
oxford_female_smokers_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Google_ParksMobility_index;0.301322167784447
oxford_median_age_tbd__oxford_new_tests_tbd;c3_Google_ResidentialMobility_index;0.300684706731683
c3_MortalityRateUnder5International_numeric__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.300671421214965
oxford_extreme_poverty_tbd__oxford_hosp_patients_per_million_tbd;c3_Apple_TransitMobility_index;0.300497436177554
oxford_human_development_index_tbd__oxford_total_tests_per_thousand_tbd;c3_Google_ParksMobility_index;0.300168447251438
oxford_male_smokers_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.300130689730506
oxford_median_age_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.299641747120747
c3_LifeExpectancyInternational_numeric__oxford_positive_rate_tbd;c3_Google_ParksMobility_index;0.296614291007248
oxford_female_smokers_tbd__oxford_total_tests_tbd;c3_Apple_TransitMobility_index;0.296573578417592
oxford_aged_70_older_tbd__oxford_reproduction_rate_tbd;c3_Apple_TransitMobility_index;0.296088578200889
oxford_aged_70_older_tbd__oxford_total_tests_per_thousand_tbd;c3_Google_ResidentialMobility_index;0.295628921681069
oxford_female_smokers_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Google_ResidentialMobility_index;0.295284304871513
oxford_female_smokers_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_GroceryMobility_index;0.295189604519085
oxford_hospital_beds_per_thousand_tbd__oxford_total_tests_tbd;c3_Google_ResidentialMobility_index;0.295086576631956
oxford_population_density_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.294832800195684
oxford_population_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.293951888476769
oxford_life_expectancy_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.293938208176239
oxford_aged_70_older_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_GroceryMobility_index;0.293698790357019
oxford_aged_65_older_tbd__oxford_weekly_hosp_admissions_per_million_tbd;c3_Apple_TransitMobility_index;0.293176683958367
oxford_gdp_per_capita_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Apple_TransitMobility_index;0.293141707702186
oxford_aged_70_older_tbd__oxford_total_deaths_per_million_tbd;c3_Apple_TransitMobility_index;0.292855397390607
c3_MaleFemaletotal_InternationalCensus_integer__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.292818626535738
oxford_median_age_tbd__oxford_positive_rate_tbd;c3_Google_ResidentialMobility_index;0.291237786188948
oxford_life_expectancy_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_GroceryMobility_index;0.290365436313351
oxford_hospital_beds_per_thousand_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_GroceryMobility_index;0.29016301419189
oxford_median_age_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Google_ResidentialMobility_index;0.289049788400424
oxford_median_age_tbd__oxford_new_deaths_per_million_tbd;c3_Apple_TransitMobility_index;0.287670558775454
oxford_aged_70_older_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_OxCGRT_Policy_StringencyIndex_mean_of_ordinal;0.287561577066905
oxford_female_smokers_tbd__oxford_positive_rate_tbd;c3_OxCGRT_Policy_EconomicSupportIndex_mean_of_ordinal;0.287263267177804
oxford_aged_70_older_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.287223810427627
oxford_hospital_beds_per_thousand_tbd__oxford_tests_per_case_tbd;c3_Google_ResidentialMobility_index;0.287185192067714
oxford_human_development_index_tbd__oxford_new_tests_tbd;c3_Apple_TransitMobility_index;0.286806971445084
oxford_hospital_beds_per_thousand_tbd__oxford_positive_rate_tbd;c3_Google_ParksMobility_index;0.286451968771875
oxford_aged_65_older_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.285305321381704
oxford_aged_70_older_tbd__oxford_total_deaths_tbd;c3_Apple_TransitMobility_index;0.284845010363948
oxford_median_age_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.283377236185635
oxford_aged_70_older_tbd__cep_repronum_se_numeric;c3_Apple_TransitMobility_index;0.283110474693459
oxford_aged_70_older_tbd__cep_repronum_numeric;c3_Apple_TransitMobility_index;0.283046541548248
oxford_aged_70_older_tbd__oxford_hosp_patients_per_million_tbd;c3_Apple_TransitMobility_index;0.282910052783519
oxford_diabetes_prevalence_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Apple_TransitMobility_index;0.282567161859924
oxford_human_development_index_tbd__oxford_total_tests_per_thousand_tbd;c3_Apple_TransitMobility_index;0.282128139755945
oxford_gdp_per_capita_tbd__oxford_new_tests_smoothed_tbd;c3_Apple_TransitMobility_index;0.281594273154352
oxford_aged_65_older_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_ResidentialMobility_index;0.281457322370409
oxford_hospital_beds_per_thousand_tbd__oxford_new_deaths_smoothed_per_million_tbd;c3_Apple_TransitMobility_index;0.280278038916938
oxford_hospital_beds_per_thousand_tbd__oxford_new_tests_tbd;c3_Google_ResidentialMobility_index;0.280212856662365
oxford_female_smokers_tbd__oxford_total_tests_tbd;c3_Google_ResidentialMobility_index;0.280195511497846
oxford_female_smokers_tbd__oxford_total_tests_per_thousand_tbd;c3_Google_ParksMobility_index;0.279893911442897
oxford_median_age_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_ResidentialMobility_index;0.279399584918008
c3_MortalityRateUnder5International_numeric__oxford_weekly_icu_admissions_tbd;c3_Google_WorkplacesMobility_index;0.279272977824818
oxford_aged_65_older_tbd__oxford_weekly_hosp_admissions_tbd;c3_Apple_TransitMobility_index;0.279037480025559
oxford_hospital_beds_per_thousand_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_WorkplacesMobility_index;0.27847037977021
oxford_male_smokers_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_GroceryMobility_index;0.278097053710465
oxford_handwashing_facilities_tbd__oxford_total_tests_per_thousand_tbd;c3_Google_ParksMobility_index;0.27806425631563
oxford_gdp_per_capita_tbd__oxford_positive_rate_tbd;c3_Apple_TransitMobility_index;0.277747533720591
oxford_female_smokers_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_WorkplacesMobility_index;0.277694563630413
c3_MortalityRateUnder5International_numeric__oxford_new_tests_tbd;c3_Apple_TransitMobility_index;0.27715182031617
oxford_female_smokers_tbd__oxford_total_tests_tbd;c3_Google_ParksMobility_index;0.276982211954398
oxford_female_smokers_tbd__oxford_new_tests_tbd;c3_Google_ParksMobility_index;0.276367143041106
oxford_aged_70_older_tbd__cep_repronum_se_numeric;c3_Google_ParksMobility_index;0.274647194673346
oxford_gdp_per_capita_tbd__oxford_hosp_patients_per_million_tbd;c3_Google_ResidentialMobility_index;0.273948349430857
oxford_aged_65_older_tbd__cep_repronum_se_numeric;c3_Google_ParksMobility_index;0.273530417495357
oxford_population_tbd__oxford_new_tests_tbd;c3_Apple_TransitMobility_index;0.273084911761382
oxford_aged_65_older_tbd__oxford_reproduction_rate_tbd;c3_Apple_TransitMobility_index;0.27273398076386
oxford_female_smokers_tbd__oxford_positive_rate_tbd;c3_Google_ParksMobility_index;0.272416899039471
oxford_handwashing_facilities_tbd__oxford_total_tests_tbd;c3_Apple_TransitMobility_index;0.272106138473694
oxford_aged_70_older_tbd__oxford_positive_rate_tbd;c3_OxCGRT_Policy_EconomicSupportIndex_mean_of_ordinal;0.27191340522624
oxford_aged_65_older_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_RetailMobility_index;0.271853580458393
oxford_cardiovasc_death_rate_tbd__oxford_total_tests_per_thousand_tbd;c3_Apple_TransitMobility_index;0.271748810731417
oxford_handwashing_facilities_tbd__oxford_total_tests_per_thousand_tbd;c3_Apple_TransitMobility_index;0.271502293926949
oxford_human_development_index_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_TransitStationsMobility_index;0.271348849413072
oxford_aged_65_older_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Google_ResidentialMobility_index;0.271088977291297
c3_LifeExpectancyInternational_numeric__oxford_total_tests_per_thousand_tbd;c3_Apple_TransitMobility_index;0.270883365671435
oxford_aged_65_older_tbd__oxford_total_deaths_per_million_tbd;c3_Apple_TransitMobility_index;0.270172888399887
oxford_aged_70_older_tbd__cep_repronum_numeric;c3_Google_ParksMobility_index;0.269662889180524
oxford_hospital_beds_per_thousand_tbd__oxford_positive_rate_tbd;c3_Google_ResidentialMobility_index;0.269358486034121
c3_MaleFemaletotal_InternationalCensus_integer__oxford_new_tests_tbd;c3_Apple_TransitMobility_index;0.268672187284071
oxford_handwashing_facilities_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Google_ParksMobility_index;0.268585585079391
oxford_aged_65_older_tbd__cep_repronum_numeric;c3_Google_ParksMobility_index;0.267863262900659
oxford_hospital_beds_per_thousand_tbd__oxford_total_tests_per_thousand_tbd;c3_Google_RetailMobility_index;0.267587428086013
oxford_population_tbd__oxford_total_tests_per_thousand_tbd;c3_Apple_TransitMobility_index;0.266597287961895
oxford_median_age_tbd__oxford_new_tests_smoothed_tbd;c3_Google_ResidentialMobility_index;0.266079247953193
oxford_hospital_beds_per_thousand_tbd__oxford_new_tests_smoothed_tbd;c3_Google_ResidentialMobility_index;0.265602327653326
oxford_aged_70_older_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_ResidentialMobility_index;0.265526907460468
c3_MortalityRateUnder5International_numeric__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_GroceryMobility_index;0.265358297398059
c3_MaleFemaletotal_InternationalCensus_integer__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_GroceryMobility_index;0.265140064513758
oxford_population_tbd__oxford_weekly_icu_admissions_per_million_tbd;c3_Google_GroceryMobility_index;0.265005112288316
oxford_aged_70_older_tbd__oxford_new_deaths_smoothed_tbd;c3_Apple_TransitMobility_index;0.263608828166268
c3_MaleFemaletotal_InternationalCensus_integer__oxford_total_tests_per_thousand_tbd;c3_Apple_TransitMobility_index;0.263481817535197
oxford_aged_70_older_tbd__oxford_new_deaths_tbd;c3_Apple_TransitMobility_index;0.263351825107953
oxford_median_age_tbd__oxford_total_tests_per_thousand_tbd;c3_Google_RetailMobility_index;0.263221831317717
oxford_hospital_beds_per_thousand_tbd__oxford_new_tests_smoothed_tbd;c3_Apple_TransitMobility_index;0.263035977211584
oxford_population_density_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_WorkplacesMobility_index;0.262993221213241
oxford_hospital_beds_per_thousand_tbd__oxford_positive_rate_tbd;c3_Apple_TransitMobility_index;0.262732622433592
oxford_aged_65_older_tbd__oxford_total_deaths_tbd;c3_Apple_TransitMobility_index;0.261904727493854
oxford_human_development_index_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_WorkplacesMobility_index;0.261813063815733
oxford_aged_70_older_tbd__oxford_reproduction_rate_tbd;c3_Google_ParksMobility_index;0.261798166112004
